"family","model_index","mse","bic","delta_bic"
"negbinom2",1,12778.9270077029,106795.418574024,1335.85649883265
"negbinom2",2,11674.0519240651,106715.621901507,1256.05982631566
"negbinom2",3,10934.7047481427,105896.305207025,436.743131833646
"negbinom2",4,9637.33873035978,105602.12514677,142.563071578654
"negbinom2",5,9329.6514374689,105596.236908675,136.674833483543
"negbinom2",6,9328.68240748802,105459.562075191,0
"poisson",1,10636.4681262805,710859.956211628,389017.461583145
"poisson",2,10658.2199675029,689915.531287052,368073.036658569
"poisson",3,4441.25834956025,368632.941126889,46790.4464984052
"poisson",4,4411.20834096134,343008.536247958,21166.0416194744
"poisson",5,4250.94587963778,346044.515065433,24202.0204369493
"poisson",6,4294.86151357232,321842.494628483,0
