"","split","formula","mse"
"1",0.3,"Model 1",16072.5860383875
"2",0.3,"Model 2",15984.5599515071
"3",0.3,"Model 3",9135.29940839452
"4",0.3,"Model 4",7730.50147086112
"5",0.3,"Model 5",8497.4571206472
"6",0.3,"Model 6",6654.97059070156
"7",0.4,"Model 1",16385.8446092689
"8",0.4,"Model 2",16288.3491399839
"9",0.4,"Model 3",9523.64091437949
"10",0.4,"Model 4",8442.51399578061
"11",0.4,"Model 5",8943.71903772327
"12",0.4,"Model 6",7040.50023327074
"13",0.5,"Model 1",18935.3700773751
"14",0.5,"Model 2",18876.5434765689
"15",0.5,"Model 3",11189.9948067664
"16",0.5,"Model 4",9758.72859832835
"17",0.5,"Model 5",10546.3080445952
"18",0.5,"Model 6",7993.73803915953
"19",0.6,"Model 1",21319.586068307
"20",0.6,"Model 2",21322.8602093971
"21",0.6,"Model 3",12753.0567782755
"22",0.6,"Model 4",11287.5675590135
"23",0.6,"Model 5",12054.5874077461
"24",0.6,"Model 6",9309.08561442243
"25",0.7,"Model 1",10636.4681262805
"26",0.7,"Model 2",10658.2199675029
"27",0.7,"Model 3",4441.25834956025
"28",0.7,"Model 4",4411.20834096134
"29",0.7,"Model 5",4250.94587963778
"30",0.7,"Model 6",4294.86151357232
"31",0.8,"Model 1",11362.9765746224
"32",0.8,"Model 2",11368.0130587783
"33",0.8,"Model 3",5194.27646280647
"34",0.8,"Model 4",4724.47761262855
"35",0.8,"Model 5",5057.63052782831
"36",0.8,"Model 6",4817.9816610368
"37",0.9,"Model 1",11807.5984838648
"38",0.9,"Model 2",11513.5378909379
"39",0.9,"Model 3",5673.06283133908
"40",0.9,"Model 4",4722.55897850003
"41",0.9,"Model 5",5247.08189641056
"42",0.9,"Model 6",4782.2993305465
